,1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Artery,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,EnclosedPorch,ExterCond,ExterQual,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Other,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,FireplaceQu,Fireplaces,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageTypeMeanPrice,GarageYrBlt,GrLivArea,HalfBath,HeatingQC,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,Id,KitchenAbvGr,KitchenQual,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LandSlope,LotArea,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LotDepth,LotFrontage,LotShape,LowQualFinSF,MSSubClass_120,MSSubClass_150,MSSubClass_160,MSSubClass_180,MSSubClass_190,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,MasVnrArea,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,MiscVal,MoSold,NeighborhoodMeanPrice,OpenPorchSF,OverallCond,OverallQual,PavedDrive_N,PavedDrive_P,PavedDrive_Y,PoolArea,RoofMatl_ClyTile,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,SalePrice,ScreenPorch,Street_Grvl,Street_Pave,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
0,856,854,0,3,1,0,0,0,0,3,1,706,0,6,1,1,0,4,150,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,8,548,2,3,2,3,202893,2003,1710,1,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,0,0,0,1,3,8450,0,0,0,0,1,130,65,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,196,0,1,0,0,0,2,197966,61,5,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,208500,0,0,1,8,856,4,0,2003,2003,2008
1,1262,0,0,3,1,0,0,0,0,3,4,978,0,5,1,0,1,4,284,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,2,8,460,2,3,2,3,202893,1976,1262,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,3,0,0,0,1,3,9600,0,0,1,0,0,120,80,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,238773,0,8,6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,181500,0,0,1,6,1262,4,298,1976,1976,2007
2,920,866,0,3,1,0,0,0,0,3,2,486,0,6,1,1,0,4,434,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,1,0,0,0,2,8,608,2,3,2,3,202893,2001,1786,1,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,4,0,0,0,1,3,11250,0,0,0,0,1,165,68,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,162,0,1,0,0,0,9,197966,42,5,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,223500,0,0,1,6,920,4,0,2001,2002,2008
3,961,756,0,3,1,0,0,0,0,4,1,216,0,5,1,1,0,3,540,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,272,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,1,8,642,3,3,1,3,134091,1998,1717,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,1,4,0,0,0,1,3,9550,1,0,0,0,0,159,60,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,210625,35,5,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,140000,0,0,1,7,756,4,0,1915,1970,2006
4,1145,1053,0,4,1,0,0,0,0,3,3,655,0,6,1,1,0,4,490,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,1,0,0,0,2,8,836,3,3,2,3,202893,2000,2198,1,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,1,4,0,0,0,1,3,14260,0,0,1,0,0,169,84,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,350,0,1,0,0,0,12,335295,84,5,8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,250000,0,0,1,9,1145,4,192,2000,2000,2008
5,796,566,320,1,1,0,0,0,0,3,1,732,0,6,1,1,0,4,64,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,8,480,2,3,1,3,202893,1993,1362,1,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,1,3,0,0,0,1,3,14115,0,0,0,0,1,166,85,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,700,10,156270,30,5,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,143000,0,0,1,5,796,4,40,1993,1995,2009
6,1694,0,0,3,1,0,0,0,0,3,3,1369,0,6,1,1,0,5,317,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,1,0,0,0,2,8,636,2,3,2,3,202893,2004,1694,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,1,4,0,0,0,1,3,10084,0,0,0,0,1,134,75,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,186,0,0,0,1,0,8,225380,57,5,8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,307000,0,0,1,7,1686,4,255,2004,2005,2007
7,1107,983,0,3,1,0,0,0,0,3,2,859,32,5,4,1,0,4,216,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,228,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,2,8,484,2,3,2,3,202893,1973,2090,1,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,1,3,0,0,0,1,3,10382,1,0,0,0,0,142,72,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,240,0,0,0,1,350,11,189050,204,6,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,200000,0,0,1,7,1107,4,235,1973,1973,2009
8,1022,752,0,2,1,0,0,0,0,3,1,0,0,1,1,0,0,3,952,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,205,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,2,7,468,2,3,1,2,134091,1931,1774,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9,2,3,0,0,0,1,3,6120,0,0,0,0,1,120,51,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,128225,0,5,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,129900,0,0,1,8,952,4,90,1931,1950,2008
9,1077,0,0,2,0,1,0,0,0,3,1,851,0,6,1,1,0,3,140,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,1,8,205,1,3,2,4,202893,1939,1077,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10,2,3,0,0,0,1,3,7420,1,0,0,0,0,148,50,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,124834,4,6,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,118000,0,0,1,5,991,4,0,1939,1950,2008
